"date_time","durafet_temp","p_h","logger","durafet"
2023-04-08 11:36:30,19.2034306722662,7.73108417636771,"madgetech","red"
2023-04-08 11:37:00,19.2073106967738,7.73025065610055,"madgetech","red"
2023-04-08 11:37:30,19.2116352816621,7.73025602427345,"madgetech","red"
2023-04-08 11:38:00,19.2153000680162,7.73058774873975,"madgetech","red"
2023-04-08 11:38:30,19.2189540037836,7.73034278350845,"madgetech","red"
2023-04-08 11:39:00,19.2225097996459,7.73022352855357,"madgetech","red"
2023-04-08 11:39:30,19.2255799594427,7.72959679001387,"madgetech","red"
2023-04-08 11:40:00,19.2285167192643,7.72963355131828,"madgetech","red"
2023-04-08 11:40:30,19.2313620722773,7.72899993615961,"madgetech","red"
2023-04-08 11:41:00,19.2350380893749,7.72904610620776,"madgetech","red"
2023-04-08 11:41:30,19.2379057488708,7.72946478578023,"madgetech","red"
2023-04-08 11:42:00,19.2410380705486,7.72918948854676,"madgetech","red"
2023-04-08 11:42:30,19.2434022963669,7.72839554820916,"madgetech","red"
2023-04-08 11:43:00,19.2463502746938,7.72834224260138,"madgetech","red"
2023-04-08 11:43:30,19.2489142856087,7.72897191815653,"madgetech","red"
2023-04-08 11:44:00,19.2519409576468,7.72863107718003,"madgetech","red"
2023-04-08 11:44:30,19.255796861225,7.72828778982125,"madgetech","red"
2023-04-08 11:45:00,19.2580492348302,7.72775725120203,"madgetech","red"
2023-04-08 11:45:30,19.2607357391805,7.72794213942838,"madgetech","red"
2023-04-08 11:46:00,19.2632301761994,7.72877890641956,"madgetech","red"
2023-04-08 11:46:30,19.2656031370567,7.72877397605671,"madgetech","red"
2023-04-08 11:47:00,19.2686017936749,7.72790705705775,"madgetech","red"
2023-04-08 11:47:30,19.2723043372679,7.72796850242735,"madgetech","red"
2023-04-08 11:48:00,19.2768423761599,7.72800503125901,"madgetech","red"
2023-04-08 11:48:30,19.2801958213863,7.7283002780692,"madgetech","red"
2023-04-08 11:49:00,19.2841208970098,7.72833692114984,"madgetech","red"
2023-04-08 11:49:30,19.2882611192685,7.72780286830318,"madgetech","red"
2023-04-08 11:50:00,19.291667500474,7.72751305397092,"madgetech","red"
2023-04-08 11:50:30,19.2958228616183,7.72747658813048,"madgetech","red"
2023-04-08 11:51:00,19.2996611484473,7.72722003992771,"madgetech","red"
2023-04-08 11:51:30,19.3031066182161,7.72734692248522,"madgetech","red"
