"durafet","minT","maxT","meanT","sdT","minP","maxP","meanP","sdP"
"green",-0.575743681936413,23.5378784929925,14.3506918768097,9.45491862605482,8.13645839180081,9.4889391194596,8.73170126118001,0.353114695326141
"red",-0.0366549589712492,24.7608342521785,17.6759636680586,7.08302286536286,7.26161970173336,8.37383963736614,7.74723976864571,0.206093352805784
