"durafet","minT","maxT","meanT","sdT","minP","maxP","meanP","sdP"
"green",-0.559938496273628,23.5903895679012,14.3875475761792,9.46928655851107,8.13221045008601,9.48465061656828,8.72742164655004,0.353110059764014
"red",-0.0205394854298103,24.8147415785073,17.7162328228705,7.09355601782553,7.25753054616866,8.36962034366154,7.7430917212583,0.206066322132392
