"durafet","minT","maxT","meanT","sdT","minP","maxP","meanP","sdP"
"green",-0.57659764331675,23.535043741077,14.3487018061578,9.45414326956243,8.13463468026781,9.48693766656218,8.72981292920604,0.353057254431261
"red",-0.037525686332403,24.7579241387274,17.673789270303,7.08245443274975,7.25979725013699,8.37183885295913,7.74536958360759,0.206063377413652
