"date_time","durafet_temp","p_h","logger","durafet","hobo_temp","diff_temp"
2023-04-08 01:00:30,19.3105000062826,8.83717944848594,"madgetech","green",20.203,0.892499993717401
2023-04-08 01:01:00,19.31165703686,8.83719820115921,"madgetech","green",20.203,0.891342963139998
2023-04-08 01:01:30,19.313923023774,8.83684446694416,"madgetech","green",20.203,0.889076976226001
2023-04-08 01:02:00,19.3143908562125,8.83710825111706,"madgetech","green",20.214,0.899609143787497
2023-04-08 01:02:30,19.3152263634567,8.83646394531991,"madgetech","green",20.214,0.8987736365433
2023-04-08 01:03:00,19.3164436032924,8.83684172699001,"madgetech","green",20.203,0.886556396707601
2023-04-08 01:03:30,19.318007236776,8.83638200847741,"madgetech","green",20.203,0.884992763223998
2023-04-08 01:04:00,19.3192382494003,8.83583907343565,"madgetech","green",20.214,0.894761750599699
2023-04-08 01:04:30,19.3206087064588,8.83640751681844,"madgetech","green",20.214,0.8933912935412
2023-04-08 01:05:00,19.3218579601715,8.83666321916697,"madgetech","green",20.203,0.8811420398285
2023-04-08 01:05:30,19.3224390833778,8.83656917131821,"madgetech","green",20.203,0.880560916622198
2023-04-08 01:06:00,19.3228121979884,8.83676593993816,"madgetech","green",20.193,0.8701878020116
2023-04-08 01:06:30,19.3234875426026,8.83583354952227,"madgetech","green",20.214,0.890512457397399
2023-04-08 01:07:00,19.3250014053364,8.83613165352379,"madgetech","green",20.203,0.877998594663598
2023-04-08 01:07:30,19.3261883554234,8.83639677776265,"madgetech","green",20.203,0.876811644576598
2023-04-08 01:08:00,19.3277812500598,8.83584812715194,"madgetech","green",20.193,0.865218749940201
2023-04-08 01:08:30,19.3283773055405,8.83563843808428,"madgetech","green",20.203,0.8746226944595
2023-04-08 01:09:00,19.3295485104467,8.83602783181049,"madgetech","green",20.193,0.863451489553302
2023-04-08 01:09:30,19.3308058224465,8.83573374358033,"madgetech","green",20.235,0.904194177553499
2023-04-08 01:10:00,19.3306522129382,8.83616307465651,"madgetech","green",20.214,0.883347787061798
2023-04-08 01:10:30,19.3326979440562,8.83607965870016,"madgetech","green",20.214,0.881302055943799
2023-04-08 01:11:00,19.3341244229445,8.83621656891868,"madgetech","green",20.225,0.8908755770555
2023-04-08 01:11:30,19.335118903638,8.83653277458582,"madgetech","green",20.214,0.878881096361997
