"date_time","durafet_temp","p_h","logger","durafet"
2023-04-10 14:40:00,17.7199617182378,7.1493456239407,"madgetech","red"
2023-04-10 14:40:05,17.7626791787971,7.14910689409428,"madgetech","red"
2023-04-10 14:40:10,17.8055918185819,7.14898322118266,"madgetech","red"
2023-04-10 14:40:15,17.8485804615066,7.14832179510163,"madgetech","red"
2023-04-10 14:40:20,17.8910625833314,7.14863430777604,"madgetech","red"
2023-04-10 14:40:25,17.9343779811582,7.14816917946847,"madgetech","red"
2023-04-10 14:40:30,17.9763967572724,7.14808785238728,"madgetech","red"
2023-04-10 14:40:35,18.0195771301106,7.14719569597727,"madgetech","red"
2023-04-10 14:40:40,18.0628598517121,7.14706385169545,"madgetech","red"
2023-04-10 14:40:45,18.1059832345178,7.14638536088891,"madgetech","red"
2023-04-10 14:40:50,18.1490645427941,7.14656378677874,"madgetech","red"
2023-04-10 14:40:55,18.1918239212389,7.1458826664726,"madgetech","red"
2023-04-10 14:41:00,18.2346232508872,7.14550863730061,"madgetech","red"
2023-04-10 14:41:05,18.2767972869182,7.14516898027569,"madgetech","red"
2023-04-10 14:41:10,18.318717231581,7.14438030275399,"madgetech","red"
2023-04-10 14:41:15,18.3597490047717,7.14447376362847,"madgetech","red"
2023-04-10 14:41:20,18.4016897771777,7.14447109327572,"madgetech","red"
2023-04-10 14:41:25,18.4426136350781,7.14392129828569,"madgetech","red"
2023-04-10 14:41:30,18.4841146710846,7.14421186211626,"madgetech","red"
2023-04-10 14:41:35,18.5243067295308,7.14388870831683,"madgetech","red"
2023-04-10 14:41:40,18.5640346952426,7.14328910895324,"madgetech","red"
2023-04-10 14:41:45,18.6037314806377,7.14301154477343,"madgetech","red"
2023-04-10 14:41:50,18.6437933318238,7.1424799461301,"madgetech","red"
2023-04-10 14:41:55,18.6824713104548,7.1421822759809,"madgetech","red"
2023-04-10 14:42:00,18.7210896760173,7.14168170482177,"madgetech","red"
2023-04-10 14:42:05,18.7593000749734,7.1413261218408,"madgetech","red"
2023-04-10 14:42:10,18.7975750155422,7.14123256220231,"madgetech","red"
