"date_time","durafet_temp","p_h","logger","durafet"
2023-04-10 22:00:00,19.9784087151627,7.1911567176465,"madgetech","red"
2023-04-10 22:00:05,19.9775897288946,7.19105647362488,"madgetech","red"
2023-04-10 22:00:10,19.9781096521766,7.19074455423578,"madgetech","red"
2023-04-10 22:00:15,19.9772208315872,7.19066442177648,"madgetech","red"
2023-04-10 22:00:20,19.9777234692913,7.19105377279314,"madgetech","red"
2023-04-10 22:00:25,19.977416793267,7.19102541931302,"madgetech","red"
2023-04-10 22:00:30,19.9770292055007,7.19127309707794,"madgetech","red"
2023-04-10 22:00:35,19.9767550639431,7.19123178187956,"madgetech","red"
2023-04-10 22:00:40,19.9768121053563,7.19052884228846,"madgetech","red"
2023-04-10 22:00:45,19.9769422589339,7.19077065756387,"madgetech","red"
2023-04-10 22:00:50,19.9762928300144,7.19059729942623,"madgetech","red"
2023-04-10 22:00:55,19.9753490101289,7.19068675312386,"madgetech","red"
2023-04-10 22:01:00,19.9764958384534,7.19108788455756,"madgetech","red"
2023-04-10 22:01:05,19.9756231265822,7.1908573638516,"madgetech","red"
2023-04-10 22:01:10,19.9756708182259,7.19142989906761,"madgetech","red"
2023-04-10 22:01:15,19.975031438881,7.19167495695098,"madgetech","red"
2023-04-10 22:01:20,19.9747678045631,7.19165660398556,"madgetech","red"
2023-04-10 22:01:25,19.9748469221408,7.19124681833025,"madgetech","red"
2023-04-10 22:01:30,19.9750677655638,7.19142022694388,"madgetech","red"
2023-04-10 22:01:35,19.9745481004003,7.19126586118435,"madgetech","red"
2023-04-10 22:01:40,19.9744112464058,7.19174484513565,"madgetech","red"
2023-04-10 22:01:45,19.9741674421499,7.19110841146582,"madgetech","red"
2023-04-10 22:01:50,19.9740377550368,7.19107084975031,"madgetech","red"
2023-04-10 22:01:55,19.9738234010881,7.19104800806412,"madgetech","red"
2023-04-10 22:02:00,19.9730301045059,7.19129075765896,"madgetech","red"
2023-04-10 22:02:05,19.9734566192818,7.19132167039977,"madgetech","red"
2023-04-10 22:02:10,19.9727985273488,7.19183715067726,"madgetech","red"
2023-04-10 22:02:15,19.9727506752103,7.191435859394,"madgetech","red"
2023-04-10 22:02:20,19.972577107241,7.1913786751408,"madgetech","red"
2023-04-10 22:02:25,19.9719957165943,7.19145343656015,"madgetech","red"
2023-04-10 22:02:30,19.9724785794659,7.19192340448719,"madgetech","red"
2023-04-10 22:02:35,19.9722627735172,7.19188509969372,"madgetech","red"
2023-04-10 22:02:40,19.9716409333386,7.19200417497514,"madgetech","red"
2023-04-10 22:02:45,19.9708189174776,7.19229425063942,"madgetech","red"
2023-04-10 22:02:50,19.9715737194095,7.19196340365964,"madgetech","red"
2023-04-10 22:02:55,19.9713574737146,7.19160014134034,"madgetech","red"
2023-04-10 22:03:00,19.9711630789384,7.19174909029042,"madgetech","red"
2023-04-10 22:03:05,19.9702461052919,7.191794680037,"madgetech","red"
2023-04-10 22:03:10,19.9706721973746,7.19159966987905,"madgetech","red"
2023-04-10 22:03:15,19.9700981813827,7.19156433802093,"madgetech","red"
2023-04-10 22:03:20,19.9698691636282,7.19166264819534,"madgetech","red"
2023-04-10 22:03:25,19.9701257279219,7.19133992920033,"madgetech","red"
2023-04-10 22:03:30,19.9696284020806,7.19185045243455,"madgetech","red"
2023-04-10 22:03:35,19.9699766539242,7.19158104839229,"madgetech","red"
2023-04-10 22:03:40,19.9694974386824,7.19213889419114,"madgetech","red"
2023-04-10 22:03:45,19.9696639992611,7.19167653385663,"madgetech","red"
2023-04-10 22:03:50,19.9693842747792,7.19219887180341,"madgetech","red"
2023-04-10 22:03:55,19.9688317252242,7.19227239224731,"madgetech","red"
2023-04-10 22:04:00,19.968315281911,7.19240410696199,"madgetech","red"
2023-04-10 22:04:05,19.9688711605762,7.19238351869534,"madgetech","red"
2023-04-10 22:04:10,19.9674919790153,7.19210169425833,"madgetech","red"
2023-04-10 22:04:15,19.9670439858972,7.19172774870674,"madgetech","red"
2023-04-10 22:04:20,19.9680181217577,7.19193070644057,"madgetech","red"
2023-04-10 22:04:25,19.966780786428,7.19236379400352,"madgetech","red"
2023-04-10 22:04:30,19.9666547162208,7.19218865364134,"madgetech","red"
2023-04-10 22:04:35,19.9672306705301,7.19162734115421,"madgetech","red"
2023-04-10 22:04:40,19.9665653049393,7.19224570639964,"madgetech","red"
2023-04-10 22:04:45,19.9664720902169,7.19175567491535,"madgetech","red"
2023-04-10 22:04:50,19.9667624926367,7.19174769697874,"madgetech","red"
2023-04-10 22:04:55,19.9662396130138,7.19149981573814,"madgetech","red"
2023-04-10 22:05:00,19.9662167147615,7.19169840244261,"madgetech","red"
2023-04-10 22:05:05,19.9661499096967,7.19172949818534,"madgetech","red"
2023-04-10 22:05:10,19.9652898179808,7.19215053280196,"madgetech","red"
2023-04-10 22:05:15,19.9657727876685,7.19169925429933,"madgetech","red"
2023-04-10 22:05:20,19.9649760171771,7.19195544919718,"madgetech","red"
2023-04-10 22:05:25,19.9651176813261,7.19228900531878,"madgetech","red"
2023-04-10 22:05:30,19.9654223444246,7.19226063313568,"madgetech","red"
2023-04-10 22:05:35,19.9648076475013,7.19227683899493,"madgetech","red"
2023-04-10 22:05:40,19.9644421287864,7.19267429946913,"madgetech","red"
2023-04-10 22:05:45,19.9651925864452,7.19195798566745,"madgetech","red"
