"date_time","durafet_temp","v1","trisph","tk","st","eot","omegasph","diff","tempdiff","phdiff","logger","tolerance"
2022-12-15 10:45:04,16.7609505473641,0.10911,8.35638294457129,289.910950547364,0.0575238791416646,-0.374547509247364,8.40794321356972,-0.0515602689984309,0,0,"real-arduino","ideal"
2022-12-15 10:45:14,16.7609505473641,0.10915,8.35638294457129,289.910950547364,0.0575238791416646,-0.374547509247364,8.40863857696658,-0.0522556323952834,0,0.0006953633968525,"real-arduino","ideal"
2022-12-15 10:45:24,16.7553395969376,0.10913,8.35656602730143,289.905339596938,0.0575227658217517,-0.374541898296938,8.40835608975605,-0.0517900624546268,0.00561095042654358,0.000412876186327793,"real-arduino","ideal"
2022-12-15 10:45:34,16.7665631239906,0.10914,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40839952189357,-0.0521997071746885,0.00561257662646142,0.000456308323840915,"real-arduino","ideal"
2022-12-15 10:45:44,16.7609505473641,0.10914,8.35638294457129,289.910950547364,0.0575238791416646,-0.374547509247364,8.40846473611736,-0.0520817915460707,0,0.000521522547639819,"real-arduino","ideal"
2022-12-15 10:45:54,16.7665631239906,0.10914,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40839952189357,-0.0521997071746885,0.00561257662646142,0.000456308323840915,"real-arduino","ideal"
2022-12-15 10:46:04,16.7665631239906,0.10912,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40805184692601,-0.0518520322071314,0.00561257662646142,0.000586730040568639,"real-arduino","ideal"
2022-12-15 10:46:14,16.7665631239906,0.10914,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40839952189357,-0.0521997071746885,0.011223527053005,4.34321375131219e-05,"real-arduino","ideal"
2022-12-15 10:46:24,16.7665631239906,0.10914,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40839952189357,-0.0521997071746885,0,0,"real-arduino","ideal"
2022-12-15 10:46:34,16.7665631239906,0.10915,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40857335937734,-0.052373544658467,0.00561257662646142,0.000108623259979623,"real-arduino","ideal"
2022-12-15 10:46:43,16.7609505473641,0.10916,8.35638294457129,289.910950547364,0.0575238791416646,-0.374547509247364,8.40881241781579,-0.0524294732444961,0.00561257662646142,0.000412895922224266,"real-arduino","ideal"
2022-12-15 10:46:53,16.7665631239906,0.10915,8.35619981471888,289.916563123991,0.0575249927842467,-0.374553121823991,8.40857335937734,-0.052373544658467,0,0.000521512451335582,"real-arduino","ideal"
2022-12-15 10:47:03,16.7721773277115,0.10911,8.35601663771939,289.922177327711,0.0575261067496754,-0.374558736027711,8.40781278893762,-0.0517961512182268,0.00561420372093124,0.0005867329559468,"real-arduino","ideal"
2022-12-15 10:47:13,16.7721773277115,0.10915,8.35601663771939,289.922177327711,0.0575261067496754,-0.374558736027711,8.40850812540762,-0.0524914876882239,0.00561420372093124,0.000108603514050287,"real-arduino","ideal"
2022-12-15 10:47:23,16.7721773277115,0.10915,8.35601663771939,289.922177327711,0.0575261067496754,-0.374558736027711,8.40850812540762,-0.0524914876882239,0.00561420372093124,6.523396972824e-05,"real-arduino","ideal"
2022-12-15 10:47:33,16.7721773277115,0.10915,8.35601663771939,289.922177327711,0.0575261067496754,-0.374558736027711,8.40850812540762,-0.0524914876882239,0.0112267803473927,0.000304292408173978,"real-arduino","ideal"
2022-12-15 10:47:43,16.783410620018,0.10916,8.35565014217991,289.933410620018,0.0575283356497835,-0.374569969320018,8.40855143567566,-0.0529012934957471,0.0168474960274665,2.19237016860774e-05,"real-arduino","ideal"
2022-12-15 10:47:53,16.777793159422,0.10913,8.35583341354805,289.927793159422,0.0575272210381284,-0.374564351859422,8.40809521354829,-0.0522618000002364,0.00561583171046465,0.000282424610672294,"real-arduino","ideal"
2022-12-15 10:48:03,16.777793159422,0.10916,8.35583341354805,289.927793159422,0.0575272210381284,-0.374564351859422,8.40861670579941,-0.0527832922513589,0.00561583171046465,0.00010858039179773,"real-arduino","ideal"
2022-12-15 10:48:13,16.783410620018,0.10912,8.35565014217991,289.933410620018,0.0575283356497835,-0.374569969320018,8.40785612614605,-0.052205983966136,0.0112332923065352,0.000651999261569003,"real-arduino","ideal"
2022-12-15 10:48:23,16.783410620018,0.10914,8.35565014217991,289.933410620018,0.0575283356497835,-0.374569969320018,8.40820378091085,-0.0525536387309433,0.0112332923065352,0.000304344496761644,"real-arduino","ideal"
2022-12-15 10:48:33,16.783410620018,0.10913,8.35565014217991,289.933410620018,0.0575283356497835,-0.374569969320018,8.40802995352845,-0.0523798113485388,0,0.000521482147208374,"real-arduino","ideal"
2022-12-15 10:48:42,16.7890297103965,0.10917,8.35546682359023,289.939029710396,0.0575294505848185,-0.374575588410396,8.40865997315907,-0.0531931495688394,0.0112365509745054,0.000564759610782062,"real-arduino","ideal"
2022-12-15 10:48:52,16.7946504314546,0.10917,8.35528345775413,289.944650431455,0.0575305658434116,-0.374581209131455,8.40859466684445,-0.0533112090903227,0.0168572720326132,2.2038954964998e-05,"real-arduino","ideal"
2022-12-15 10:49:02,16.783410620018,0.10913,8.35565014217991,289.933410620018,0.0575283356497835,-0.374569969320018,8.40802995352845,-0.0523798113485388,0,0.000173827382402791,"real-arduino","ideal"
2022-12-15 10:49:12,16.7946504314546,0.10912,8.35528345775413,289.944650431455,0.0575305658434116,-0.374581209131455,8.40772556362485,-0.0524421058707212,0.0112398114365426,0.000478217286007165,"real-arduino","ideal"
2022-12-15 10:49:22,16.7890297103965,0.10914,8.35546682359023,289.939029710396,0.0575294505848185,-0.374575588410396,8.40813850111832,-0.0526716775280853,0.00561909037843478,0.000108547589869445,"real-arduino","ideal"
2022-12-15 10:49:32,16.7946504314546,0.10913,8.35528345775413,289.944650431455,0.0575305658434116,-0.374581209131455,8.40789938426877,-0.0526159265146404,0.00562072105810785,0.000760588890306835,"real-arduino","ideal"
2022-12-15 10:49:42,16.7946504314546,0.10913,8.35528345775413,289.944650431455,0.0575305658434116,-0.374581209131455,8.40789938426877,-0.0526159265146404,0,0.000695282575682299,"real-arduino","ideal"
2022-12-15 10:49:52,16.7890297103965,0.10913,8.35546682359023,289.939029710396,0.0575294505848185,-0.374575588410396,8.40796467710473,-0.0524978535144989,0.00561909037843478,6.52764237170089e-05,"real-arduino","ideal"
2022-12-15 10:50:02,16.7946504314546,0.10915,8.35528345775413,289.944650431455,0.0575305658434116,-0.374581209131455,8.40824702555661,-0.0529635678024825,0,0.00052146193176128,"real-arduino","ideal"
2022-12-15 10:50:12,16.8002727840905,0.10912,8.35510004464646,289.95027278409,0.057531681425741,-0.37458683148409,8.40766025773877,-0.052560213092308,0.0112430736939935,0.000478243379548715,"real-arduino","ideal"
2022-12-15 10:50:22,16.8002727840905,0.10914,8.35510004464646,289.95027278409,0.057531681425741,-0.37458683148409,8.40800789228559,-0.0529078476391245,0.00562235263588562,0.000108508016820608,"real-arduino","ideal"
2022-12-15 10:50:32,16.8002727840905,0.10914,8.35510004464646,289.95027278409,0.057531681425741,-0.37458683148409,8.40800789228559,-0.0529078476391245,0.00562235263588562,0.000108508016820608,"real-arduino","ideal"
2022-12-15 10:50:41,16.8058967692031,0.10914,8.35491658424263,289.955896769203,0.057532797331985,-0.374592455469203,8.40794256322863,-0.0530259789859979,0.0168670588066604,2.21138761045125e-05,"real-arduino","ideal"
2022-12-15 10:50:51,16.8058967692031,0.10916,8.35491658424263,289.955896769203,0.057532797331985,-0.374592455469203,8.40829019103272,-0.0533736067900943,0.0112463377485525,4.31654761161582e-05,"real-arduino","ideal"
2022-12-15 10:51:01,16.8058967692031,0.10917,8.35491658424263,289.955896769203,0.057532797331985,-0.374592455469203,8.40846400493477,-0.0535474206921425,0.00562398511266693,0.000803747196002291,"real-arduino","ideal"
2022-12-15 10:51:11,16.8058967692031,0.10917,8.35491658424263,289.955896769203,0.057532797331985,-0.374592455469203,8.40846400493477,-0.0535474206921425,0.00562398511266693,0.000456112649185769,"real-arduino","ideal"
2022-12-15 10:51:21,16.811522387692,0.10914,8.35473307651739,289.961522387692,0.0575339135623221,-0.374598081087692,8.40787721773343,-0.0531441412160358,0.0112496036015699,0.000130674552160315,"real-arduino","ideal"
