"date_time","omegas_temp_raw.durafet","p_h","logger","durafet"
2023-04-09 14:40:12,0.916298970594445,8.78341986668315,"madgetech","green"
2023-04-09 14:40:42,0.90750788663616,8.79456090143617,"madgetech","green"
2023-04-09 14:41:12,0.899391755949514,8.80426629272364,"madgetech","green"
2023-04-09 14:41:42,0.891758705141799,8.8118856107476,"madgetech","green"
2023-04-09 14:42:12,0.885367567073468,8.81889639548721,"madgetech","green"
2023-04-09 14:42:42,0.878905367600024,8.82445371160105,"madgetech","green"
2023-04-09 14:43:12,0.873201224962381,8.8299231904334,"madgetech","green"
2023-04-09 14:43:42,0.86767119153296,8.83419571643072,"madgetech","green"
2023-04-09 14:44:12,0.862348865665056,8.83751058461947,"madgetech","green"
2023-04-09 14:44:42,0.857020503588876,8.84120787378854,"madgetech","green"
2023-04-09 14:45:12,0.852359877880181,8.84331089019778,"madgetech","green"
2023-04-09 14:45:42,0.847238455504245,8.84659169217732,"madgetech","green"
2023-04-09 14:46:12,0.842214201969555,8.8489629656023,"madgetech","green"
2023-04-09 14:46:42,0.837386586252809,8.85050825668867,"madgetech","green"
2023-04-09 14:47:12,0.831903085402837,8.85235299791006,"madgetech","green"
2023-04-09 14:47:42,0.826598168512119,8.85385280927151,"madgetech","green"
2023-04-09 14:48:12,0.820980650587315,8.85532649567001,"madgetech","green"
2023-04-09 14:48:42,0.815359905652267,8.85657401801732,"madgetech","green"
2023-04-09 14:49:12,0.809850311832271,8.85778214622484,"madgetech","green"
2023-04-09 14:49:42,0.804469543793812,8.85892082752198,"madgetech","green"
2023-04-09 14:50:12,0.799087794710784,8.85964342748562,"madgetech","green"
2023-04-09 14:50:42,0.794055701010418,8.86067540564568,"madgetech","green"
2023-04-09 14:51:12,0.789437872611425,8.86118319685958,"madgetech","green"
2023-04-09 14:51:42,0.785082748581706,8.8623117655361,"madgetech","green"
2023-04-09 14:52:12,0.781420410336314,8.86318122084702,"madgetech","green"
2023-04-09 14:52:42,0.777590229811745,8.864203909694,"madgetech","green"
2023-04-09 14:53:12,0.775225091088634,8.86417695084781,"madgetech","green"
2023-04-09 14:53:42,0.771930683759638,8.86443673959806,"madgetech","green"
2023-04-09 14:54:12,0.769974684173717,8.8651974318506,"madgetech","green"
2023-04-09 14:54:42,0.767899646337259,8.86534306064116,"madgetech","green"
2023-04-09 14:55:12,0.766364707344135,8.86576817556204,"madgetech","green"
2023-04-09 14:55:42,0.76532423286639,8.86651499862055,"madgetech","green"
2023-04-09 14:56:12,0.763877858849448,8.86628239796909,"madgetech","green"
2023-04-09 14:56:42,0.763312572053719,8.86592561895429,"madgetech","green"
2023-04-09 14:57:12,0.763022731650506,8.86581522322333,"madgetech","green"
2023-04-09 14:57:42,0.763480152207997,8.86630340922287,"madgetech","green"
2023-04-09 14:58:12,0.763277329955113,8.8666999894711,"madgetech","green"
2023-04-09 14:58:42,0.763711254421895,8.86619530447211,"madgetech","green"
2023-04-09 14:59:12,0.76434838367408,8.8658132661758,"madgetech","green"
2023-04-09 14:59:42,0.765507996051941,8.86633285483453,"madgetech","green"
2023-04-09 15:00:12,0.766605392562545,8.86662405475546,"madgetech","green"
2023-04-09 15:00:42,0.768414031576658,8.86608950159562,"madgetech","green"
2023-04-09 15:01:12,0.76976505836107,8.8659742192469,"madgetech","green"
2023-04-09 15:01:42,0.771742877868352,8.86619828891793,"madgetech","green"
2023-04-09 15:02:12,0.773338430869029,8.86580839480209,"madgetech","green"
2023-04-09 15:02:42,0.775358394458421,8.86530476234582,"madgetech","green"
2023-04-09 15:03:12,0.777314074385405,8.86560052744453,"madgetech","green"
2023-04-09 15:03:42,0.779174857460311,8.8657298210986,"madgetech","green"
2023-04-09 15:04:12,0.781262799248216,8.86536654867138,"madgetech","green"
2023-04-09 15:04:42,0.783400042452799,8.86526752506391,"madgetech","green"
2023-04-09 15:05:12,0.785644072076115,8.8648233393001,"madgetech","green"
2023-04-09 15:05:42,0.788504782718271,8.86468883122725,"madgetech","green"
2023-04-09 15:06:12,0.790924118767241,8.86431948070929,"madgetech","green"
2023-04-09 15:06:42,0.793609181326647,8.86469335973675,"madgetech","green"
2023-04-09 15:07:12,0.79645275411316,8.86448366784953,"madgetech","green"
2023-04-09 15:07:42,0.799123775291624,8.86446587809896,"madgetech","green"
2023-04-09 15:08:12,0.802025574723349,8.86440512977151,"madgetech","green"
2023-04-09 15:08:42,0.804661094127002,8.86407693409218,"madgetech","green"
2023-04-09 15:09:12,0.807373382116918,8.86384075910354,"madgetech","green"
2023-04-09 15:09:42,0.810631706279503,8.86373089195563,"madgetech","green"
2023-04-09 15:10:12,0.814016413569337,8.86393346679957,"madgetech","green"
2023-04-09 15:10:42,0.817074116129351,8.86390035247065,"madgetech","green"
2023-04-09 15:11:12,0.820235617229083,8.86361818580743,"madgetech","green"
2023-04-09 15:11:42,0.823464919859513,8.86331263711483,"madgetech","green"
2023-04-09 15:12:12,0.826244534502285,8.86295487413959,"madgetech","green"
2023-04-09 15:12:42,0.829293664209636,8.86269784129167,"madgetech","green"
2023-04-09 15:13:12,0.832245543150507,8.86296752524321,"madgetech","green"
2023-04-09 15:13:42,0.83493523642463,8.86269601480099,"madgetech","green"
2023-04-09 15:14:12,0.83735365761212,8.86239592022771,"madgetech","green"
2023-04-09 15:14:42,0.840049067146566,8.86237670958005,"madgetech","green"
2023-04-09 15:15:12,0.842334496163387,8.8625180971724,"madgetech","green"
2023-04-09 15:15:42,0.844589134918403,8.86252269329899,"madgetech","green"
2023-04-09 15:16:12,0.84763335190122,8.86228966284467,"madgetech","green"
