"date_time","logger","durafet","v1","v2","v3","v4","durafet_temp","p_h","hobo_temp","diff_temp"
2023-04-09 15:10:20,"arduino","red",103.41,36,34.25,45,0.0740256919256697,8.36070219384856,4.63,4.55597430807433
2023-04-09 15:10:40,"madgetech","green",130.68078,35.8673,-35.32636,43.02866,0.817074116129351,9.46532447808393,4.62,3.80292588387065
2023-04-09 15:10:50,"arduino","red",103.37,36,34,44.94,0.0871656537943109,8.35980469694232,4.598,4.51083434620569
2023-04-09 15:11:10,"madgetech","green",130.66784,35.86736,-35.3259,43.01318,0.820235617229083,9.46503537123967,4.598,3.77776438277092
2023-04-09 15:11:20,"arduino","red",103.41,36,33.75,44.93,0.0893565082087888,8.36051586790629,4.609,4.51964349179121
2023-04-09 15:11:40,"madgetech","green",130.65368,35.86848,-35.32614,42.99864,0.823464919859513,9.46472273369231,4.588,3.76453508014049
2023-04-09 15:11:50,"arduino","red",103.41,36,34.25,44.9,0.0959305481225755,8.36043597548809,4.598,4.50206945187742
2023-04-09 15:12:10,"madgetech","green",130.63634,35.86782,-35.32592,42.98418,0.826244534502285,9.46435886913585,4.588,3.76175546549772
2023-04-09 15:12:20,"arduino","red",103.37,36,34,44.9,0.0959305481225755,8.3596982025121,4.577,4.48106945187742
2023-04-09 15:12:40,"madgetech","green",130.62468,35.86798,-35.3267,42.96938,0.829293664209636,9.46409514323181,4.598,3.76870633579036
2023-04-09 15:12:50,"arduino","red",103.34,36,34.25,44.84,0.109085277767241,8.35898508082625,4.588,4.47891472223276
2023-04-09 15:13:10,"madgetech","green",130.64158,35.86834,-35.32664,42.9553,0.832245543150507,9.46435834774149,4.577,3.74475445684949
2023-04-09 15:13:20,"arduino","red",103.37,36,34,44.81,0.115665970380867,8.35945843996949,4.566,4.45033402961913
2023-04-09 15:13:40,"madgetech","green",130.62886,35.86824,-35.32684,42.94196,0.83493523642463,9.46408093348252,4.577,3.74206476357537
2023-04-09 15:13:50,"arduino","red",103.34,36,34.25,44.81,0.115665970380867,8.35890515019933,4.588,4.47233402961913
2023-04-09 15:14:10,"madgetech","green",130.61438,35.86786,-35.32736,42.92962,0.83735365761212,9.46377553062764,4.566,3.72864634238788
2023-04-09 15:14:20,"arduino","red",103.31,36,34,44.78,0.122248883446228,8.35827192001202,4.566,4.44375111655377
2023-04-09 15:14:40,"madgetech","green",130.61538,35.8689,-35.32702,42.91762,0.840049067146566,9.46375040383688,4.555,3.71495093285343
2023-04-09 15:14:50,"arduino","red",103.28,36,34,44.75,0.128834018408329,8.35763869335657,4.566,4.43716598159167
2023-04-09 15:15:10,"madgetech","green",130.6248,35.86874,-35.32774,42.9062,0.842334496163387,9.46388677524186,4.566,3.72366550383661
2023-04-09 15:15:20,"arduino","red",103.31,36,34,44.75,0.128834018408329,8.35819195646625,4.566,4.43716598159167
2023-04-09 15:15:40,"madgetech","green",130.62676,35.8678,-35.32704,42.894,0.844589134918403,9.46388642284325,4.566,3.7214108650816
2023-04-09 15:15:50,"arduino","red",103.31,36,34,44.72,0.135421376713348,8.35811196977793,4.555,4.41957862328665
2023-04-09 15:16:10,"madgetech","green",130.6164,35.86868,-35.3278,42.8801,0.84763335190122,9.46364671101123,4.545,3.69736664809878
2023-04-09 15:16:20,"arduino","red",103.28,36,34,44.69,0.142010959808894,8.35747872349935,4.545,4.40298904019111
2023-04-09 15:16:40,"madgetech","green",130.63346,35.86908,-35.32844,42.86594,0.850614074543615,9.46391237998192,4.555,3.70438592545638
2023-04-09 15:16:50,"arduino","red",103.28,36,33.5,44.69,0.142010959808894,8.35747872349935,4.555,4.41298904019111
2023-04-09 15:17:10,"madgetech","green",130.61494,35.8697,-35.32746,42.85272,0.85345730987101,9.46352582842827,4.555,3.70154269012899
2023-04-09 15:17:20,"arduino","red",103.28,36,34.25,44.65,0.150800533893024,8.35737202545341,4.534,4.38319946610698
2023-04-09 15:17:40,"madgetech","green",130.63352,35.8696,-35.32808,42.83824,0.856382409025612,9.46382034869947,4.545,3.68861759097439
2023-04-09 15:17:50,"arduino","red",103.25,36,34,44.65,0.150800533893024,8.35681880681218,4.555,4.40419946610698
2023-04-09 15:18:10,"madgetech","green",130.62052,35.86968,-35.32798,42.82392,0.859319192671242,9.46353382501849,4.534,3.67468080732876
2023-04-09 15:18:20,"arduino","red",103.25,36,34.25,44.62,0.157395313804147,8.356738769579,4.545,4.38760468619585
2023-04-09 15:18:40,"madgetech","green",130.59846,35.86932,-35.32858,42.811,0.86186415945652,9.46308699415602,4.523,3.66113584054348
2023-04-09 15:18:50,"arduino","red",103.22,36,34.25,44.59,0.163992323341411,8.35610551721091,4.555,4.39100767665859
2023-04-09 15:19:10,"madgetech","green",130.6085,35.87004,-35.32868,42.79802,0.864684392456634,9.4632261303582,4.523,3.65831560754337
2023-04-09 15:19:20,"arduino","red",103.25,36,34.25,44.59,0.163992323341411,8.35665870915045,4.534,4.37000767665859
2023-04-09 15:19:40,"madgetech","green",130.62186,35.87038,-35.32912,42.7859,0.867237283611346,9.46343064225413,4.534,3.66676271638865
2023-04-09 15:19:50,"arduino","red",103.22,36,34,44.56,0.170591563958377,8.35602544692965,4.512,4.34140843604162
2023-04-09 15:20:10,"madgetech","green",130.61386,35.87048,-35.3308,42.7732,0.869850390333886,9.46324132014492,4.512,3.64214960966611
2023-04-09 15:20:20,"arduino","red",103.19,36,34.25,44.53,0.177193037110159,8.3553921882065,4.523,4.34580696288984
2023-04-09 15:20:40,"madgetech","green",130.5871,35.87136,-35.32976,42.75228,0.874329450656071,9.46267684937716,4.555,3.68067054934393
2023-04-09 15:20:50,"arduino","red",103.22,36,34,44.53,0.177193037110159,8.35594535342888,4.566,4.38880696288984
2023-04-09 15:21:10,"madgetech","green",130.58722,35.87138,-35.32972,42.72644,0.879603961109058,9.4625939257204,4.727,3.84739603889094
2023-04-09 15:21:20,"arduino","red",103.16,36,34.25,44.53,0.177193037110159,8.35483902298413,4.845,4.66780696288984
2023-04-09 15:21:40,"madgetech","green",130.56878,35.87236,-35.3305,42.7097,0.883256681393668,9.4621958365126,4.995,4.11174331860633
2023-04-09 15:21:50,"arduino","red",103.12,36,34.25,44.5,0.183796744253236,8.35402139716798,5.017,4.83320325574676
2023-04-09 15:22:10,"madgetech","green",130.56916,35.87276,-35.33044,42.70322,0.884675800240197,9.46217992350652,5.081,4.1963241997598
2023-04-09 15:22:20,"arduino","red",103.12,36,33.75,44.47,0.190402686845449,8.35394130174703,5.092,4.90159731315455
2023-04-09 15:22:40,"madgetech","green",130.57136,35.87262,-35.33114,42.6957,0.886176060038588,9.46219617310036,5.113,4.22682393996141
2023-04-09 15:22:50,"arduino","red",103.12,36,34,44.47,0.190402686845449,8.35394130174703,5.124,4.93359731315455
2023-04-09 15:23:10,"madgetech","green",130.58522,35.8719,-35.33158,42.68584,0.888013110727087,9.46242142665415,5.145,4.25698688927291
2023-04-09 15:23:20,"arduino","red",103.12,36,34,44.44,0.197010866346006,8.3538611830774,5.135,4.93798913365399
2023-04-09 15:23:40,"madgetech","green",130.57952,35.87378,-35.33184,42.67358,0.890971455316383,9.46226885604309,5.135,4.24402854468362
2023-04-09 15:23:50,"arduino","red",103.12,36,34,44.44,0.197010866346006,8.3538611830774,5.145,4.94798913365399
2023-04-09 15:24:10,"madgetech","green",130.58602,35.87356,-35.3326,42.6619,0.893301886438633,9.4623507874891,5.156,4.26269811356137
2023-04-09 15:24:20,"arduino","red",103.06,36,34.25,44.4,0.205825254506848,8.3526481074317,5.156,4.95017474549315
2023-04-09 15:24:40,"madgetech","green",130.56394,35.87512,-35.333,42.6477,0.896579067113351,9.46189184007117,5.135,4.23842093288665
2023-04-09 15:24:50,"arduino","red",103.09,36,34.25,44.37,0.212438659143011,8.35312105512364,5.145,4.93256134085699
2023-04-09 15:25:10,"madgetech","green",130.56448,35.87422,-35.33306,42.63038,0.899896731141481,9.46184823712864,5.135,4.23510326885852
2023-04-09 15:25:20,"arduino","red",103.09,36,34.25,44.34,0.21905430556184,8.35304087224193,5.135,4.91594569443816
2023-04-09 15:25:40,"madgetech","green",130.57816,35.87404,-35.33428,42.61376,0.903246892904769,9.46204575535083,5.135,4.23175310709523
2023-04-09 15:25:50,"arduino","red",103.06,36,34.25,44.31,0.225672195228623,8.35240759892777,5.135,4.90932780477138
2023-04-09 15:26:10,"madgetech","green",130.55562,35.87476,-35.33402,42.59302,0.90765757170606,9.4615600806865,5.135,4.22734242829394
2023-04-09 15:26:20,"arduino","red",103.06,36,34.25,44.28,0.232292329610134,8.35232738281325,5.135,4.90270767038987
2023-04-09 15:26:40,"madgetech","green",130.55784,35.87598,-35.33492,42.57478,0.911679621218925,9.46153601328083,5.135,4.22332037878108
2023-04-09 15:26:50,"arduino","red",103.06,36,34,44.28,0.232292329610134,8.35232738281325,5.135,4.90270767038987
2023-04-09 15:27:10,"madgetech","green",130.52382,35.876,-35.33526,42.55524,0.91567709203192,9.4608459200995,5.135,4.21932290796808
2023-04-09 15:27:20,"arduino","red",103,36,33.75,44.25,0.238914710174516,8.35114106269466,5.102,4.86308528982548
2023-04-09 15:27:40,"madgetech","green",130.52926,35.87658,-35.33548,42.53614,0.919721236099806,9.46088071968368,5.124,4.20427876390019
2023-04-09 15:27:50,"arduino","red",103,36,33.75,44.22,0.245539338391271,8.35106082670713,5.124,4.87846066160873
2023-04-09 15:28:10,"madgetech","green",130.5114,35.87676,-35.33646,42.51536,0.924012726700474,9.46048307399061,5.081,4.15698727329953
2023-04-09 15:28:20,"arduino","red",103,36,34.25,44.19,0.252166215731395,8.35098056736901,5.092,4.8398337842686
2023-04-09 15:28:40,"madgetech","green",130.4938,35.87682,-35.33572,42.49456,0.928280238418931,9.46009060843485,5.081,4.15271976158107
2023-04-09 15:28:50,"arduino","red",103,36,34,44.19,0.252166215731395,8.35098056736901,5.07,4.8178337842686
