"period","logger","durafet","mean_temp","sd_temp","mean_ph","sd_ph","mean_diff_t","sd_diff_t","mean_diff_p","sd_diff_p"
"1","arduino","green",23.1263365768213,0.0267595409119404,8.16412350524721,0.000747757045297286,-0.0235926499279859,0.0166348494226021,0.0192376932963437,0.00216834340324959
"1","madgetech","red",23.1497091668473,0.0317100712527663,8.14489585425053,0.00159414414975755,0.0231975944553808,0.0167808565215492,-0.0192329771525852,0.00217517650021994
"2","arduino","red",24.3642792836481,0.0177970709239417,8.1360774629856,0.000638787566836589,0.902992141822678,0.0162202807726106,-0.0253725122175651,0.00412080119088303
"2","madgetech","green",23.4613773822589,0.0182628569145347,8.16141108452993,0.00422407583521823,-0.902833635918894,0.0162538646494266,0.0253302260610445,0.00408370837108053
