"durafet","minT","maxT","meanT","sdT","minP","maxP","meanP","sdP"
"green",-0.567842726156336,23.5641178492984,14.3691103763471,9.46209693338045,8.13433440036674,9.48679483255583,8.72956143062767,0.353112370974569
"red",-0.0285988870645765,24.7877712444178,17.6960880876397,7.08828537051528,7.2595750631328,8.37172994858439,7.74516569430839,0.206079842100667
