date_time,v1,v2,v3,v4,date,time
1/25/24 13:08,71.22,35,-36,-14,1/25/24,13:08:01
1/25/24 13:08,71.22,35,-36,-14.03,1/25/24,13:08:31
1/25/24 13:09,71.22,35,-36,-14.03,1/25/24,13:09:01
1/25/24 13:09,71.16,35,-36,-14.03,1/25/24,13:09:31
1/25/24 13:10,71.19,34.75,-36,-14.07,1/25/24,13:10:01
1/25/24 13:10,71.12,35,-36,-14.07,1/25/24,13:10:31
1/25/24 13:11,71.12,35,-36,-14.1,1/25/24,13:11:01
1/25/24 13:11,71.16,34.75,-36,-14.1,1/25/24,13:11:31
1/25/24 13:12,71.12,34.75,-36,-14.1,1/25/24,13:12:01
1/25/24 13:12,71.12,35,-36,-14.13,1/25/24,13:12:31
1/25/24 13:13,71.09,35,-36,-14.13,1/25/24,13:13:01
1/25/24 13:13,71.09,35,-36,-14.13,1/25/24,13:13:31
1/25/24 13:14,71.06,34.75,-36,-14.16,1/25/24,13:14:01
1/25/24 13:14,71.06,35,-36,-14.19,1/25/24,13:14:31
1/25/24 13:15,71.06,35,-36,-14.19,1/25/24,13:15:01
1/25/24 13:15,71.06,35,-36,-14.19,1/25/24,13:15:31
1/25/24 13:16,71.03,35,-36,-14.19,1/25/24,13:16:01
1/25/24 13:16,71.03,35,-36,-14.22,1/25/24,13:16:31
1/25/24 13:17,71.03,35,-36,-14.22,1/25/24,13:17:01
1/25/24 13:17,71.03,35,-36,-14.25,1/25/24,13:17:31
1/25/24 13:18,71,35,-36,-14.25,1/25/24,13:18:01
1/25/24 13:18,71,35,-36,-14.25,1/25/24,13:18:31
1/25/24 13:19,70.97,35,-36,-14.28,1/25/24,13:19:01
1/25/24 13:19,70.97,35,-36,-14.28,1/25/24,13:19:31
1/25/24 13:20,71.03,35,-36,-14.32,1/25/24,13:20:01
1/25/24 13:20,70.97,34.75,-36,-14.32,1/25/24,13:20:31
1/25/24 13:21,70.97,34.75,-36,-14.35,1/25/24,13:21:01
1/25/24 13:21,70.94,35,-36,-14.35,1/25/24,13:21:31
