date_time,v1,v2,v3,v4,date,time
1/24/24 0:30,48.28,34.5,-36,-7.97,1/24/24,0:30:01
1/24/24 0:35,48.41,34.5,-36,-8,1/24/24,0:35:01
1/24/24 0:40,48.31,34.5,-36,-8,1/24/24,0:40:01
1/24/24 0:45,48.44,34.5,-36,-7.97,1/24/24,0:45:01
1/24/24 0:50,48.5,34.5,-36,-7.97,1/24/24,0:50:01
1/24/24 0:55,48.44,34.5,-36,-7.97,1/24/24,0:55:01
1/24/24 1:00,48.41,34.5,-36,-7.97,1/24/24,1:00:01
1/24/24 1:05,48.31,34.5,-36,-7.94,1/24/24,1:05:01
1/24/24 1:10,48.28,34.5,-36,-7.94,1/24/24,1:10:01
1/24/24 1:15,48.28,34.5,-36,-7.94,1/24/24,1:15:01
1/24/24 1:20,48.25,34.5,-36,-7.91,1/24/24,1:20:01
1/24/24 1:25,48.19,34.5,-36,-7.94,1/24/24,1:25:01
1/24/24 1:30,48.25,34.5,-36,-7.94,1/24/24,1:30:01
1/24/24 1:35,48.28,34.5,-36,-7.91,1/24/24,1:35:01
1/24/24 1:40,48.22,34.5,-36,-7.87,1/24/24,1:40:01
1/24/24 1:45,48.28,34.5,-36,-7.87,1/24/24,1:45:01
1/24/24 1:50,48.31,34.5,-36,-7.91,1/24/24,1:50:01
1/24/24 1:55,48.25,34.5,-36,-7.87,1/24/24,1:55:01
1/24/24 2:00,48.28,34.5,-36,-7.87,1/24/24,2:00:01
1/24/24 2:05,48.28,34.5,-36,-7.87,1/24/24,2:05:01
1/24/24 2:10,48.19,34.5,-36,-7.9,1/24/24,2:10:01
1/24/24 2:15,48.13,34.5,-36,-7.9,1/24/24,2:15:01
1/24/24 2:20,48.19,34.5,-36,-7.84,1/24/24,2:20:01
1/24/24 2:25,48.19,34.5,-36,-7.84,1/24/24,2:25:01
1/24/24 2:30,48.19,34.5,-36,-7.84,1/24/24,2:30:01
1/24/24 2:35,48,34.5,-36,-7.81,1/24/24,2:35:01
1/24/24 2:40,48.03,34.5,-36,-7.78,1/24/24,2:40:01
1/24/24 2:45,48.06,34.5,-36,-7.78,1/24/24,2:45:01
1/24/24 2:50,48.13,34.5,-36,-7.75,1/24/24,2:50:01
1/24/24 2:55,48.06,34.5,-36,-7.75,1/24/24,2:55:01
1/24/24 3:00,48.06,34.5,-36,-7.72,1/24/24,3:00:01
45315.12848,48.03,34.5,-36,-7.72,1/24/24,3:05:01
45315.13196,48.06,34.5,-36,-7.72,1/24/24,3:10:01
45315.13543,48.06,34.5,-36,-7.69,1/24/24,3:15:01
45315.1389,48.13,34.5,-36,-7.69,1/24/24,3:20:01
45315.14237,48.09,34.5,-36,-7.66,1/24/24,3:25:01
45315.14584,48.09,34.5,-36,-7.66,1/24/24,3:30:01
45315.14932,48.16,34.5,-36,-7.66,1/24/24,3:35:01
45315.15279,48.22,34.5,-36,-7.62,1/24/24,3:40:01
45315.15626,48.31,34.5,-36,-7.62,1/24/24,3:45:01
45315.15973,48.31,34.5,-36,-7.62,1/24/24,3:50:01
45315.16321,48.34,34.5,-36,-7.62,1/24/24,3:55:01
45315.16668,48.34,34.5,-36,-7.62,1/24/24,4:00:01
45315.17015,48.34,34.5,-36,-7.59,1/24/24,4:05:01
45315.17362,48.34,34.5,-36,-7.56,1/24/24,4:10:01
45315.17709,48.44,34.5,-36,-7.56,1/24/24,4:15:01
45315.18057,48.38,34.5,-36,-7.59,1/24/24,4:20:01
45315.18404,48.38,34.5,-36,-7.56,1/24/24,4:25:01
45315.18751,48.38,34.5,-36,-7.56,1/24/24,4:30:01
45315.19098,48.38,34.5,-36,-7.59,1/24/24,4:35:01
45315.19446,48.41,34.5,-36,-7.53,1/24/24,4:40:01
45315.19793,48.41,34.5,-36,-7.53,1/24/24,4:45:01
45315.2014,48.41,34.5,-36,-7.5,1/24/24,4:50:01
45315.20487,48.44,34.5,-36,-7.5,1/24/24,4:55:01
45315.20834,48.44,34.5,-36,-7.47,1/24/24,5:00:01
45315.21182,48.44,34.5,-36,-7.5,1/24/24,5:05:01
45315.21529,48.47,34.5,-36,-7.5,1/24/24,5:10:01
45315.21876,48.41,34.5,-36,-7.5,1/24/24,5:15:01
45315.22223,48.41,34.5,-36,-7.47,1/24/24,5:20:01
45315.22571,48.41,34.5,-36,-7.5,1/24/24,5:25:01
45315.22918,48.34,34.5,-36,-7.5,1/24/24,5:30:01
45315.23265,48.22,34.5,-36,-7.53,1/24/24,5:35:01
45315.23612,48.19,34.5,-36,-7.5,1/24/24,5:40:01
45315.23959,48.16,34.5,-36,-7.53,1/24/24,5:45:01
45315.24307,48.06,34.5,-36,-7.53,1/24/24,5:50:01
45315.24654,48,34.5,-36,-7.53,1/24/24,5:55:01
45315.25001,48.03,34.5,-36,-7.53,1/24/24,6:00:01
45315.25348,48,34.5,-36,-7.53,1/24/24,6:05:01
45315.25696,48,34.5,-36,-7.53,1/24/24,6:10:01
45315.26043,48.09,34.5,-36,-7.53,1/24/24,6:15:01
45315.2639,48.09,34.5,-36,-7.53,1/24/24,6:20:01
45315.26737,48.06,34.5,-36,-7.56,1/24/24,6:25:01
45315.27084,48.03,34.5,-36,-7.56,1/24/24,6:30:01
45315.27432,48,34.5,-36,-7.56,1/24/24,6:35:01
45315.27779,47.91,34.5,-36,-7.56,1/24/24,6:40:01
45315.28126,48,34.5,-36,-7.53,1/24/24,6:45:01
45315.28473,48.03,34.5,-36,-7.53,1/24/24,6:50:01
45315.28821,48,34.5,-36,-7.53,1/24/24,6:55:01
45315.29168,48.09,34.5,-36,-7.53,1/24/24,7:00:01
45315.29515,48.09,34.5,-36,-7.53,1/24/24,7:05:01
45315.29862,48.13,34.5,-36,-7.53,1/24/24,7:10:01
45315.30209,48.13,34.5,-36,-7.56,1/24/24,7:15:01
45315.30557,48.09,34.5,-36,-7.56,1/24/24,7:20:01
